keyType;keyHASH;anchorURL;anchorHASH;contentHASH;httpCode;hashMatches;validJSON;validJSONLD;extraInfo
keyHash;008e918639050ec8b708e5d8ff5224595098a28f0fc6671c66e292ab;https://raw.githubusercontent.com/BlocksandBlocks/DRep/main/DRepAnchorMetaData;6e71b281c6f56ef25519956b118af1ccf21003347432e9e5043141c5fd8d0e26;6e71b281c6f56ef25519956b118af1ccf21003347432e9e5043141c5fd8d0e26;200;YES;YES;YES;no authors in the authors-array
keyHash;0096a5deb8395e0d26469c2082f8aa8a026935f1e72c8652f22da3d9;-;-;;;;;;
keyHash;00d9100e2bce69b22b10c5fa3d8bd329f019d6fa6eacc4d6c9366072;-;-;;;;;;
keyHash;014e8d04a93cb3244d1fc9f2f95fb623791135a9a70e6a60f731d098;https://raw.githubusercontent.com/hirano-vm4/Cardano_Pool_campfire/refs/heads/main/CAMP.jsonld;560839b903a7b80bd0a24e738f48d975b2f950e10d777c1d504bb0a4f503775b;560839b903a7b80bd0a24e738f48d975b2f950e10d777c1d504bb0a4f503775b;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;01fe794271a02c19f6034505d6d146926356df76361b3d38e7250b31;https://raw.githubusercontent.com/c2vn/DRep/main/C2VN.jsonld;5448a898b2cf0150ab7337789ce20d6cc0db10eeb7cb93a7636dbe6a1329ab41;5448a898b2cf0150ab7337789ce20d6cc0db10eeb7cb93a7636dbe6a1329ab41;200;YES;YES;YES;no authors in the authors-array
keyHash;0220eea089c69e678ae43345e6a4f92d3ac36c87b069290865978958;https://raw.githubusercontent.com/IlumNguyen/DRep-Profile/main/Viet_Cardano_Com.jsonld;68002844fb106f04a26dfdb0bd0793620eb4e0cffca6ff7a0ed0e5c4d94c519d;68002844fb106f04a26dfdb0bd0793620eb4e0cffca6ff7a0ed0e5c4d94c519d;200;YES;YES;YES;no authors in the authors-array
keyHash;022d44be3ede3c4d2f2be640db81a47fc585e5c05d2dfc5506d676d4;-;-;;;;;;
keyHash;0261103c25a72751db376eafa00a5d74842a5e1e0ce9b61fb6b9a95f;-;-;;;;;;
keyHash;027c9b547af1d13dea971c09744a54d03b669118ed99fadd3c3f8664;https://raw.githubusercontent.com/MadOrkestra/dRepInfo/refs/heads/main/Mad%20Orkestra.jsonld;b4fc6af0ea3072a73a5c25d5430fae1c7bf08c47bd63cc055ba7cb54918c7591;b4fc6af0ea3072a73a5c25d5430fae1c7bf08c47bd63cc055ba7cb54918c7591;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;02bd53d802b5eafdd42e432aed0ae6b069e339487fe5326699baa7c4;-;-;;;;;;
keyHash;03190992591476666d4b272c8320d18bffb9c96aabe5af50ee8ad329;-;-;;;;;;
keyHash;0413ebc79500781e04bdabdf76ab1d2b00c61c3a4c213657e1b13aaf;https://raw.githubusercontent.com/xuyen88/AQUA/main/AQUA_Vote.jsonld;2ce5056b50314cac0e57eaa6bdc8236bec252ad73db017f55e2cbbf6da37baa9;2ce5056b50314cac0e57eaa6bdc8236bec252ad73db017f55e2cbbf6da37baa9;200;YES;YES;YES;no authors in the authors-array
keyHash;044ae92d97e2e7d1df4405fc01ef91510177ce1e28f5424dfd503b15;-;-;;;;;;
keyHash;04a54040fd24e45eca98807cc45a860f4c4b6333b51b319278ad6ad4;https://raw.githubusercontent.com/FaizanShaikh-3033/DRep-Decentral-Dynamo/main/Decentral_Dynamo.jsonld;1e6aef467751ff28967fd6808aff653b9ec8b731ceed09ff4a6270eb9e2c6388;1e6aef467751ff28967fd6808aff653b9ec8b731ceed09ff4a6270eb9e2c6388;200;YES;YES;YES;no authors in the authors-array
keyHash;05a6d3cb0e03374484dab1d520cee6c748f3dfcf85aefad3617b6840;-;-;;;;;;
keyHash;05ea6efc972424efd449d698b96cb43b367b9f04b72e01e149c648a9;-;-;;;;;;
keyHash;0641cb7215accee75c549490c0b65ea0f87fa373896043861d28156c;-;-;;;;;;
keyHash;0713978cc6b64bdd372a90b4a84065fdfc06b7ca239af771ebec3006;-;-;;;;;;
keyHash;07d92e3d5191de5a3a3009ffdcea7ed118ef0abe67f40d8f54828c55;https://jungmyeong96.github.io/FairAndSquare/;15fd102aba418c086e9ad65f19c4d5f4d7ab2947922d74f3568ff394aa5763a9;;200;;NO;;not a valid JSON format
keyHash;083d9ded16c40a3a389592c4e5bf9c36ea195ab5ab05d15030459ad3;https://serverlessnomad.github.io/Serverless%20Nomad.jsonld;2f9746c9422037b9b9f8f5390ebf6df8730a7a894de7355d3c5855073b830bfb;2f9746c9422037b9b9f8f5390ebf6df8730a7a894de7355d3c5855073b830bfb;200;YES;YES;NO;Error: unknown hashAlgorithm [object Object]
keyHash;08bc08cb22edfb159124ddb8ea8368378d2256a30cc020b942ef58a0;-;-;;;;;;
keyHash;08f32fe5d939492e66343deeca07654e55460618424a630ac641e5ed;-;-;;;;;;
keyHash;0905822acc5549e2c27711995586b8f4d2c7663b334dd625038df7d4;-;-;;;;;;
keyHash;09536269770d8754ec1a53d6636dd0d785dade81f6c06642738490a4;-;-;;;;;;
